ID,敏感函数,漏洞描述,文件路径,漏洞代码行,漏洞详情
370,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第283行,"						fwrite($FILE, str_repeat(""\x00"", $this->_BIG_BLOCK_SIZE - ($raList[$i]->Size % $this->_BIG_BLOCK_SIZE)));
"
371,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第295行,"				//	unlink($raList[$i]->_tmp_filename);
"
372,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第326行,"						fwrite($FILE, pack(""V"", $j+$iSmBlk+1));
"
373,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第328行,"					fwrite($FILE, pack(""V"", -2));
"
374,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第333行,"					//	while ($sBuff = fread($raList[$i]->_PPS_FILE, 4096)) {
"
375,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第352行,"				fwrite($FILE, pack(""V"", -1));
"
376,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第369行,"			fwrite($this->_FILEH_, $raList[$i]->_getPpsWk());
"
377,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第375行,"			fwrite($this->_FILEH_, str_repeat(""\x00"",($iBCnt - ($iCnt % $iBCnt)) * PHPExcel_Shared_OLE::OLE_PPS_SIZE));
"
378,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第416行,"				fwrite($FILE, pack(""V"", $i+1));
"
379,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第418行,"			fwrite($FILE, pack(""V"", -2));
"
380,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第422行,"			fwrite($FILE, pack(""V"", $i+$iSbdSize+1));
"
381,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第424行,"		fwrite($FILE, pack(""V"", -2));
"
382,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第428行,"			fwrite($FILE, pack(""V"", $i+$iSbdSize+$iBsize+1));
"
383,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第424行,"		fwrite($FILE, pack(""V"", -2));
"
384,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第433行,"			fwrite($FILE, pack(""V"", 0xFFFFFFFD));
"
385,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第437行,"			fwrite($FILE, pack(""V"", 0xFFFFFFFC));
"
386,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第352行,"				fwrite($FILE, pack(""V"", -1));
"
387,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第454行,"					fwrite($FILE, pack(""V"", $iAll+$iBdCnt+$iNb));
"
388,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第456行,"				fwrite($FILE, pack(""V"", $iBsize+$iSbdSize+$iPpsCnt+$i));
"
389,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第461行,"					fwrite($FILE, pack(""V"", -1));
"
390,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\PPS\Root.php,第418行,"			fwrite($FILE, pack(""V"", -2));
"
391,parse_str,"函数中存在变量,可能存在变量覆盖漏洞",D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\ChainedBlockStream.php,第85行,"		parse_str(substr($path, 25), $this->params);
"
392,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\ChainedBlockStream.php,第109行,"				$this->data .= fread($this->ole->_file_handle, $this->ole->bigBlockSize);
"
393,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\OLE\ChainedBlockStream.php,第109行,"				$this->data .= fread($this->ole->_file_handle, $this->ole->bigBlockSize);
"
394,extract,函数中存在变量，可能存在变量覆盖漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第187行,"  //   extract() : Extract the content of the archive
"
395,extract,函数中存在变量，可能存在变量覆盖漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第670行,"  //   extract($p_path=""./"", $p_remove_path="""")
"
396,extract,函数中存在变量，可能存在变量覆盖漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第671行,"  //   extract([$p_option, $p_option_value, ...])
"
397,extract,函数中存在变量，可能存在变量覆盖漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第700行,"  function extract()
"
398,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第1114行,"      if (($this->zip_fd = @fopen($this->zipname, 'rb')) == 0)
"
399,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2203行,"    if (($v_zip_temp_fd = @fopen($v_zip_temp_name, 'wb')) == 0)
"
400,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2220行,"      $v_buffer = fread($this->zip_fd, $v_read_size);
"
401,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2221行,"      @fwrite($v_zip_temp_fd, $v_buffer, $v_read_size);
"
402,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2238行,"      @unlink($v_zip_temp_name);
"
403,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2253行,"      $v_buffer = @fread($v_zip_temp_fd, $v_read_size);
"
404,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2254行,"      @fwrite($this->zip_fd, $v_buffer, $v_read_size);
"
405,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2266行,"          @unlink($v_zip_temp_name);
"
406,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2321行,"    @unlink($this->zipname);
"
407,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2353行,"    if (($this->zip_fd = @fopen($this->zipname, $p_mode)) == 0)
"
408,eval,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2622行,"//      eval('$v_result = '.$p_options[PCLZIP_CB_PRE_ADD].'(PCLZIP_CB_PRE_ADD, $v_local_header);');
"
409,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2667行,"        if (($v_file = @fopen($p_filename, ""rb"")) == 0) {
"
410,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2673行,"        $v_content = @fread($v_file, $p_header['size']);
"
411,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2705行,"        @fwrite($this->zip_fd, $v_content, $p_header['compressed_size']);
"
412,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2705行,"        @fwrite($this->zip_fd, $v_content, $p_header['compressed_size']);
"
413,eval,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2776行,"//      eval('$v_result = '.$p_options[PCLZIP_CB_POST_ADD].'(PCLZIP_CB_POST_ADD, $v_local_header);');
"
414,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2807行,"    if (($v_file = @fopen($p_filename, ""rb"")) == 0) {
"
415,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2824行,"      $v_buffer = @fread($v_file, $v_read_size);
"
416,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2841行,"    if (($v_file_compressed = @fopen($v_gzip_temp_name, ""rb"")) == 0) {
"
417,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2847行,"    $v_binary_data = @fread($v_file_compressed, 10);
"
418,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2855行,"    $v_binary_data = @fread($v_file_compressed, 8);
"
419,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2873行,"    if (($v_file_compressed = @fopen($v_gzip_temp_name, ""rb"")) == 0)
"
420,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2885行,"      $v_buffer = @fread($v_file_compressed, $v_read_size);
"
421,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2254行,"      @fwrite($this->zip_fd, $v_buffer, $v_read_size);
"
422,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2895行,"    @unlink($v_gzip_temp_name);
"
423,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3157行,"    if (($this->zip_fd = @fopen($this->zipname, 'rb')) == 0)
"
424,eval,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3699行,"//      eval('$v_result = '.$p_options[PCLZIP_CB_PRE_EXTRACT].'(PCLZIP_CB_PRE_EXTRACT, $v_local_header);');
"
425,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3827行,"          if (($v_dest_file = @fopen($p_entry['filename'], 'wb')) == 0)
"
426,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3843行,"            $v_buffer = @fread($this->zip_fd, $v_read_size);
"
427,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3846行,"            @fwrite($v_dest_file, $v_binary_data, $v_read_size);
"
428,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3848行,"            @fwrite($v_dest_file, $v_buffer, $v_read_size);            
"
429,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3885行,"            $v_buffer = @fread($this->zip_fd, $p_entry['compressed_size']);
"
430,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3900行,"            if (($v_dest_file = @fopen($p_entry['filename'], 'wb')) == 0) {
"
431,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3909行,"            @fwrite($v_dest_file, $v_file_content, $p_entry['size']);
"
432,eval,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3946行,"//      eval('$v_result = '.$p_options[PCLZIP_CB_POST_EXTRACT].'(PCLZIP_CB_POST_EXTRACT, $v_local_header);');
"
433,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3972行,"    if (($v_dest_file = @fopen($v_gzip_temp_name, ""wb"")) == 0) {
"
434,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3981行,"    @fwrite($v_dest_file, $v_binary_data, 10);
"
435,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3988行,"      $v_buffer = @fread($this->zip_fd, $v_read_size);
"
436,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3990行,"      @fwrite($v_dest_file, $v_buffer, $v_read_size);
"
437,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3996行,"    @fwrite($v_dest_file, $v_binary_data, 8);
"
438,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4002行,"    if (($v_dest_file = @fopen($p_entry['filename'], 'wb')) == 0) {
"
439,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3990行,"      @fwrite($v_dest_file, $v_buffer, $v_read_size);
"
440,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2895行,"    @unlink($v_gzip_temp_name);
"
441,eval,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3699行,"//      eval('$v_result = '.$p_options[PCLZIP_CB_PRE_EXTRACT].'(PCLZIP_CB_PRE_EXTRACT, $v_local_header);');
"
442,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4098行,"          $v_buffer = @fread($this->zip_fd, $p_entry['compressed_size']);
"
443,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4098行,"          $v_buffer = @fread($this->zip_fd, $p_entry['compressed_size']);
"
444,eval,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3946行,"//      eval('$v_result = '.$p_options[PCLZIP_CB_POST_EXTRACT].'(PCLZIP_CB_POST_EXTRACT, $v_local_header);');
"
445,eval,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3699行,"//      eval('$v_result = '.$p_options[PCLZIP_CB_PRE_EXTRACT].'(PCLZIP_CB_PRE_EXTRACT, $v_local_header);');
"
446,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4213行,"          $p_string = @fread($this->zip_fd, $p_entry['compressed_size']);
"
447,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4218行,"          $v_data = @fread($this->zip_fd, $p_entry['compressed_size']);
"
448,eval,命令执行函数中存在变量，可能存在任意命令执行漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第3946行,"//      eval('$v_result = '.$p_options[PCLZIP_CB_POST_EXTRACT].'(PCLZIP_CB_POST_EXTRACT, $v_local_header);');
"
449,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4282行,"    $v_binary_data = @fread($this->zip_fd, 4);
"
450,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4297行,"    $v_binary_data = fread($this->zip_fd, 26);
"
451,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4316行,"    $p_header['filename'] = fread($this->zip_fd, $v_data['filename_len']);
"
452,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4320行,"      $p_header['extra'] = fread($this->zip_fd, $v_data['extra_len']);
"
453,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4282行,"    $v_binary_data = @fread($this->zip_fd, 4);
"
454,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4400行,"    $v_binary_data = fread($this->zip_fd, 42);
"
455,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4420行,"      $p_header['filename'] = fread($this->zip_fd, $p_header['filename_len']);
"
456,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4426行,"      $p_header['extra'] = fread($this->zip_fd, $p_header['extra_len']);
"
457,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4432行,"      $p_header['comment'] = fread($this->zip_fd, $p_header['comment_len']);
"
458,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4556行,"      $v_binary_data = @fread($this->zip_fd, 4);
"
459,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4588行,"        $v_byte = @fread($this->zip_fd, 1);
"
460,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4619行,"    $v_binary_data = fread($this->zip_fd, 18);
"
461,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4655行,"      $p_central_dir['comment'] = fread($this->zip_fd, $v_data['comment_size']);
"
462,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4852行,"                @unlink($v_zip_temp_name);
"
463,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4852行,"                @unlink($v_zip_temp_name);
"
464,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4852行,"                @unlink($v_zip_temp_name);
"
465,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4852行,"                @unlink($v_zip_temp_name);
"
466,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4852行,"                @unlink($v_zip_temp_name);
"
467,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4938行,"            @unlink($v_zip_temp_name);
"
468,unlink,文件操作函数中存在变量，可能存在任意文件读取/删除/修改/写入等漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第4950行,"        @unlink($this->zipname);
"
469,fopen,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2203行,"    if (($v_zip_temp_fd = @fopen($v_zip_temp_name, 'wb')) == 0)
"
470,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2220行,"      $v_buffer = fread($this->zip_fd, $v_read_size);
"
471,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2221行,"      @fwrite($v_zip_temp_fd, $v_buffer, $v_read_size);
"
472,fread,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第5144行,"      $v_buffer = fread($p_archive_to_add->zip_fd, $v_read_size);
"
473,fwrite,读取文件函数中存在变量，可能存在任意文件读取漏洞,D:\phpstudy_pro\WWW\cms\xinhu\core\library\phpexcel\PHPExcel\Shared\PCLZip\pclzip.lib.php,第2221行,"      @fwrite($v_zip_temp_fd, $v_buffer, $v_read_size);
"
